SIMAN Run Controller.

4.9335 Hours>SIMAN Run Controller.

8.2335 Hours>
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 1

Project: Unnamed Project                                             Run execution date :10/31/2016
Analyst: Rockwell Automation                                         Model revision date:10/31/2016

Replication ended at time      : 8.2335 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Hold 134.Queue.WaitingTime                      --         --         --         --          0
Hold 119.Queue.WaitingTime                      --         --         --         --          0
Hold 92.Queue.WaitingTime                   .09881     (Insuf)    .03333     .11667         14    
Hold 51.Queue.WaitingTime                   9.0075E-04 (Insuf)    .00000     .08017         89    
Hold 142.Queue.WaitingTime                      --         --         --         --          0
Hold 101.Queue.WaitingTime                      --         --         --         --          0
Batch 20.Queue.WaitingTime                  1.8170     (Insuf)    .00000     3.6666         92    
Hold 56.Queue.WaitingTime                   .49167     (Insuf)    .00000     1.0500          6    
Hold 114.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000         20    
Process 27.Queue.WaitingTime                .03993     (Insuf)    .00000     .08333         48    
Batch 18.Queue.WaitingTime                  1.4166     (Insuf)    .00000     2.7500         52    
Hold 31.Queue.WaitingTime                   .00000     (Insuf)    .00000     .00000          1    
Hold 122.Queue.WaitingTime                      --         --         --         --          0
Batch 26.Queue.WaitingTime                      --         --         --         --          0
Batch 6.Queue.WaitingTime                   .00000     .00000     .00000     .00000        339    
Hold 135.Queue.WaitingTime                      --         --         --         --          0
Process 22.Queue.WaitingTime                3.9695     (Insuf)    .00000     8.1168         93    
Hold 143.Queue.WaitingTime                      --         --         --         --          0
Hold 102.Queue.WaitingTime                      --         --         --         --          0
Hold 49.Queue.WaitingTime                   8.1803E-04 (Insuf)    .00000     .08017         98    
Batch 21.Queue.WaitingTime                      --         --         --         --          0
Hold 98.Queue.WaitingTime                   .00000     (Insuf)    .00000     .00000          1    
Hold 57.Queue.WaitingTime                   .05692     (Insuf)    .00000     .48317         24    
Hold 107.Queue.WaitingTime                      --         --         --         --          0
Hold 115.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000         56    
Process 28.Queue.WaitingTime                .08333     (Insuf)    .08333     .08333         23    
Match 6.Queue1.WaitingTime                  .00000     (Insuf)    .00000     .00000        113    
Match 6.Queue2.WaitingTime                  .04048     (Insuf)    .00000     .08317        113    
Match 6.Queue3.WaitingTime                  .07360     (Insuf)    .00000     .08317        113    
Batch 19.Queue.WaitingTime                  2.0666     (Insuf)    .00000     4.0833        120    
Hold 123.Queue.WaitingTime                      --         --         --         --          0
Hold 93.Queue.WaitingTime                   .08750     (Insuf)    .01667     .11667         12    
Hold 52.Queue.WaitingTime                   1.0337     (Insuf)    .00000     2.1500        113    

                                     DISCRETE-CHANGE VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Final Value
___________________________________________________________________________________________________

CapArconPASoya Value                        50.434     (Insuf)    50.434     50.434     50.434    
CapArconPAMaiz Value                        47.645     (Insuf)    47.645     47.645     47.645    
CapArconPAFrijol Value                      48.707     (Insuf)    48.707     48.707     48.707    
Entity 1.WIP                                2245.7     (Insuf)    .00000     2611.0     2467.0    
Entity 2.WIP                                .00000     (Insuf)    .00000     .00000     .00000    
Mezcladora1.NumberBusy                      .99391     (Insuf)    .00000     1.0000     1.0000    
Mezcladora1.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Mezcladora1.Utilization                     .99391     (Insuf)    .00000     1.0000     1.0000    
Mezcladora2.NumberBusy                      .99391     (Insuf)    .00000     1.0000     1.0000    
Mezcladora2.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Mezcladora2.Utilization                     .99391     (Insuf)    .00000     1.0000     1.0000    
Balanza1.NumberBusy                         .99998     (Insuf)    .00000     1.0000     1.0000    
Balanza1.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Balanza1.Utilization                        .99998     (Insuf)    .00000     1.0000     1.0000    
balanza2.NumberBusy                         .99998     (Insuf)    .00000     1.0000     1.0000    
balanza2.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
balanza2.Utilization                        .99998     (Insuf)    .00000     1.0000     1.0000    
Resource 3.NumberBusy                       .00000     (Insuf)    .00000     .00000     .00000    
InspeccionF.NumberBusy                      .18701     (Insuf)    .00000     1.0000     .00000    
InspeccionF.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
InspeccionF.Utilization                     .18701     (Insuf)    .00000     1.0000     .00000    
InspeccionQ.NumberBusy                      .47453     (Insuf)    .00000     1.0000     .00000    
InspeccionQ.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
InspeccionQ.Utilization                     .47453     (Insuf)    .00000     1.0000     .00000    
Pellet 16.NumberBusy                        2.0627     (Insuf)    .00000     3.0000     3.0000    
Pellet 16.NumberScheduled                   3.0000     (Insuf)    3.0000     3.0000     3.0000    
Pellet 16.Utilization                       .68757     (Insuf)    .00000     1.0000     1.0000    
Pellet 17.NumberBusy                        2.1457     (Insuf)    .00000     3.0000     .00000    
Pellet 17.NumberScheduled                   3.0000     (Insuf)    3.0000     3.0000     3.0000    
Pellet 17.Utilization                       .71524     (Insuf)    .00000     1.0000     .00000    
Llenado.NumberBusy                          .31356     (Insuf)    .00000     1.0000     1.0000    
Llenado.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Llenado.Utilization                         .31356     (Insuf)    .00000     1.0000     1.0000    
Molino1.NumberBusy                          .70849     (Insuf)    .00000     1.0000     .00000    
Molino1.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Molino1.Utilization                         .70849     (Insuf)    .00000     1.0000     .00000    
Molino2.NumberBusy                          .48582     (Insuf)    .00000     1.0000     .00000    
Molino3.NumberBusy                          .71861     (Insuf)    .00000     1.0000     .00000    
Molino3.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Molino3.Utilization                         .71861     (Insuf)    .00000     1.0000     .00000    
Pellet 67.NumberBusy                        1.1335     (Insuf)    .00000     2.0000     1.0000    
Pellet 67.NumberScheduled                   2.0000     (Insuf)    2.0000     2.0000     2.0000    
Pellet 67.Utilization                       .56679     (Insuf)    .00000     1.0000     .50000    
Batch 7.Queue.NumberInQueue                 .00000     (Insuf)    .00000     3.0000     .00000    
Hold 60.Queue.NumberInQueue                 24.644     (Insuf)    .00000     32.000     13.000    
Hold 110.Queue.NumberInQueue                20.608     (Insuf)    .00000     32.000     32.000    
Hold 136.Queue.NumberInQueue                7.2083     (Insuf)    .00000     22.000     22.000    
Process 23.Queue.NumberInQueue              .44129     (Insuf)    .00000     1.0000     .00000    
