
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 20

Project: Unnamed Project                                             Run execution date :11/16/2016
Analyst: Rockwell Automation                                         Model revision date:11/16/2016

Replication ended at time      : 120.0 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Hold 55.Queue.WaitingTime                       --         --         --         --          0
Hold 105.Queue.WaitingTime                      --         --         --         --          0
Process 33.Queue.WaitingTime                .00253     .00207     .00000     .08333       1556    
Batch 24.Queue.WaitingTime                  2.0249     (Insuf)    .00000     5.3952        316    
Hold 154.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          3    
Hold 113.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000         52    
Process 1.Queue.WaitingTime                     --         --         --         --          0
Process 82.Queue.WaitingTime                7.5143     (Insuf)    .98366     13.330         78    
Batch 32.Queue.WaitingTime                  12.816     (Corr)     .00000     31.588        950    
Hold 83.Queue.WaitingTime                   1.1319     (Insuf)    .00000     1.7833         11    
Hold 42.Queue.WaitingTime                       --         --         --         --          0
Hold 27.Queue.WaitingTime                       --         --         --         --          0
Hold 118.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000         24    
Hold 50.Queue.WaitingTime                   1.1011     .18341     .00000     1.9166       1556    
Hold 141.Queue.WaitingTime                      --         --         --         --          0
Hold 167.Queue.WaitingTime                      --         --         --         --          0
Hold 100.Queue.WaitingTime                  1.2533     (Insuf)    .02618     2.4805          2    
Process 62.Queue.WaitingTime                .08017     (Insuf)    .00000     1.0931         16    
Hold 63.Queue.WaitingTime                   .32380     (Insuf)    .00000     3.9868        117    
Hold 48.Queue.WaitingTime                   1.2633     .21136     .00000     2.1666        774    
Hold 139.Queue.WaitingTime                  2.1685     (Insuf)    1.9833     2.3167          9    
Process 67.Queue.WaitingTime                .00000     (Insuf)    .00000     .00000         13    
Process 26.Queue.WaitingTime                .00000     (Insuf)    .00000     .00000        148    
Batch 17.Queue.WaitingTime                  .63218     (Insuf)    .00000     1.6623         52    
Hold 162.Queue.WaitingTime                      --         --         --         --          0
Hold 121.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000        316    
Hold 147.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          2    
Hold 106.Queue.WaitingTime                  2.1658     (Insuf)    1.9802     2.5338          3    
Process 34.Queue.WaitingTime                2.0641     (Corr)     .00000     23.125        502    
Batch 25.Queue.WaitingTime                  3.2209     (Corr)     .00000     9.0000        504    
Process 2.Queue.WaitingTime                     --         --         --         --          0
Batch 33.Queue.WaitingTime                      --         --         --         --          0
Hold 84.Queue.WaitingTime                   .08347     .03130     .00000     6.2152        419    
Hold 134.Queue.WaitingTime                  4.8165     (Insuf)    .00000     8.1308        118    
Hold 119.Queue.WaitingTime                      --         --         --         --          0
Hold 92.Queue.WaitingTime                   .11732     (Insuf)    .01667     .20000        107    
Hold 51.Queue.WaitingTime                   .00540     (Corr)     .00000     1.2327        652    
Hold 142.Queue.WaitingTime                      --         --         --         --          0
Hold 101.Queue.WaitingTime                  1.3035     (Insuf)    1.3035     1.3035          1    
Batch 20.Queue.WaitingTime                  3.6170     (Corr)     .00000     9.0833        912    
Hold 150.Queue.WaitingTime                  .30981     (Insuf)    .00000     1.8588          6    
Hold 56.Queue.WaitingTime                   .29735     (Insuf)    .00000     1.4196         19    
Hold 155.Queue.WaitingTime                  .74828     (Insuf)    .00000     2.9931          4    
Hold 114.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000         52    
Process 68.Queue.WaitingTime                .99465     (Insuf)    .00000     9.1379         16    
Process 27.Queue.WaitingTime                .00000     (Insuf)    .00000     .00000        125    
Batch 18.Queue.WaitingTime                  2.3213     (Insuf)    .00000     5.4166        156    
Hold 31.Queue.WaitingTime                   .00000     (Insuf)    .00000     .00000          1    
Hold 163.Queue.WaitingTime                  23.524     (Insuf)    15.960     31.088          2    
Hold 122.Queue.WaitingTime                  .00000     .00000     .00000     .00000        504    
Process 76.Queue.WaitingTime                13.176     (Insuf)    .00000     30.005         41    
Batch 26.Queue.WaitingTime                  2.8805     (Corr)     .00000     6.5833        336    
Batch 6.Queue.WaitingTime                   .00000     .00000     .00000     .00000       1257    
Hold 135.Queue.WaitingTime                  8.4836     (Insuf)    4.1940     12.803         51    
Process 63.Queue.WaitingTime                .50361     (Insuf)    .00260     4.0996         10    
Process 22.Queue.WaitingTime                20.596     (Corr)     .00000     48.508        419    
Hold 143.Queue.WaitingTime                      --         --         --         --          0
Hold 102.Queue.WaitingTime                  2.6420     (Insuf)    .00000     4.2327          6    
Hold 49.Queue.WaitingTime                   .00317     (Corr)     .00000     .73981        395    
