
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 20

Project: Unnamed Project                                             Run execution date :11/16/2016
Analyst: Rockwell Automation                                         Model revision date:11/16/2016

Replication ended at time      : 120.0 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Hold 55.Queue.WaitingTime                       --         --         --         --          0
Hold 105.Queue.WaitingTime                      --         --         --         --          0
Process 33.Queue.WaitingTime                .17481     .35765     .00000     26.615       1066    
Batch 24.Queue.WaitingTime                  4.9164     (Insuf)    .00000     11.320        316    
Hold 154.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          3    
Hold 113.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000         51    
Process 1.Queue.WaitingTime                     --         --         --         --          0
Process 82.Queue.WaitingTime                3.1905     (Insuf)    .00000     7.1905         87    
Batch 32.Queue.WaitingTime                  13.149     (Corr)     .00000     32.333        950    
Hold 83.Queue.WaitingTime                   1.2029     (Insuf)    .00000     12.723         15    
Hold 42.Queue.WaitingTime                       --         --         --         --          0
Hold 27.Queue.WaitingTime                       --         --         --         --          0
Hold 118.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000         24    
Hold 50.Queue.WaitingTime                   .76318     (Corr)     .00000     1.9166       1066    
Hold 141.Queue.WaitingTime                      --         --         --         --          0
Hold 167.Queue.WaitingTime                      --         --         --         --          0
Hold 100.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          2    
Process 62.Queue.WaitingTime                1.2143     (Insuf)    .00000     11.227         15    
Hold 63.Queue.WaitingTime                   15.873     (Insuf)    .00000     61.436        118    
Hold 48.Queue.WaitingTime                   .49531     (Corr)     .00000     2.0333       1464    
Hold 139.Queue.WaitingTime                      --         --         --         --          0
Process 67.Queue.WaitingTime                .00000     (Insuf)    .00000     .00000         12    
Process 26.Queue.WaitingTime                .00000     (Insuf)    .00000     .00000        132    
Batch 17.Queue.WaitingTime                  .60250     (Insuf)    .00000     1.4166         52    
Hold 162.Queue.WaitingTime                      --         --         --         --          0
Hold 121.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000        316    
Hold 147.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          2    
Hold 106.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          3    
Process 34.Queue.WaitingTime                3.8459     (Insuf)    .00000     24.521        302    
Batch 25.Queue.WaitingTime                  10.084     (Corr)     .00000     29.634        504    
Process 2.Queue.WaitingTime                     --         --         --         --          0
Batch 33.Queue.WaitingTime                      --         --         --         --          0
Hold 84.Queue.WaitingTime                   .08997     .04715     .00000     9.6329        419    
Hold 134.Queue.WaitingTime                  2.9814     (Insuf)    .33333     6.1893        117    
Hold 119.Queue.WaitingTime                      --         --         --         --          0
Hold 92.Queue.WaitingTime                   .11190     (Insuf)    .00000     .44421         62    
Hold 51.Queue.WaitingTime                   .15982     .16318     .00000     26.330        491    
Hold 142.Queue.WaitingTime                      --         --         --         --          0
Hold 101.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          1    
Batch 20.Queue.WaitingTime                  3.6247     (Corr)     .00000     9.8333        912    
Hold 150.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          6    
Hold 56.Queue.WaitingTime                   .04634     (Insuf)    .00000     .43496         19    
Hold 155.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          4    
Hold 114.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000         52    
Process 68.Queue.WaitingTime                1.2379     (Insuf)    .00000     10.700         16    
Process 27.Queue.WaitingTime                .00000     (Insuf)    .00000     .00000        118    
Batch 18.Queue.WaitingTime                  2.2571     (Insuf)    .00000     5.2658        156    
Hold 31.Queue.WaitingTime                   .00000     (Insuf)    .00000     .00000          1    
Hold 163.Queue.WaitingTime                  24.083     (Insuf)    16.416     31.750          2    
Hold 122.Queue.WaitingTime                  .00000     .00000     .00000     .00000        504    
Process 76.Queue.WaitingTime                14.198     (Insuf)    .00000     30.666         41    
Batch 26.Queue.WaitingTime                  5.5498     (Corr)     .00000     16.025        336    
Batch 6.Queue.WaitingTime                   .00000     .00000     .00000     .00000       1257    
Hold 135.Queue.WaitingTime                  3.1363     (Insuf)    1.1666     5.0227        101    
Process 63.Queue.WaitingTime                .02968     (Insuf)    .00000     .23035         10    
Process 22.Queue.WaitingTime                20.754     (Corr)     .00000     51.305        419    
Hold 143.Queue.WaitingTime                      --         --         --         --          0
Hold 102.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          6    
Hold 49.Queue.WaitingTime                   .07109     .03264     .00000     11.421        777    
Batch 21.Queue.WaitingTime                  .56847     (Insuf)    .00000     1.0510         24    
