
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 20

Project: Unnamed Project                                             Run execution date :11/16/2016
Analyst: Rockwell Automation                                         Model revision date:11/16/2016

Replication ended at time      : 120.0 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Hold 138.Queue.WaitingTime                  53.282     (Insuf)    22.658     72.465         26    
Hold 55.Queue.WaitingTime                       --         --         --         --          0
Hold 105.Queue.WaitingTime                      --         --         --         --          0
Process 33.Queue.WaitingTime                2.4567     (Corr)     .00000     12.072       1001    
Batch 24.Queue.WaitingTime                  4.8663     (Insuf)    .00000     12.372        304    
Hold 154.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          2    
Hold 113.Queue.WaitingTime                  .00496     (Insuf)    .00000     .11780         44    
Process 1.Queue.WaitingTime                     --         --         --         --          0
Process 82.Queue.WaitingTime                1.8380     (Insuf)    .00000     4.9471         37    
Batch 32.Queue.WaitingTime                  13.915     (Corr)     .00000     30.243        750    
Hold 83.Queue.WaitingTime                   1.4586     (Insuf)    .00000     6.8996          7    
Hold 42.Queue.WaitingTime                       --         --         --         --          0
Hold 27.Queue.WaitingTime                       --         --         --         --          0
Hold 118.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000         24    
Hold 50.Queue.WaitingTime                   .70426     (Corr)     .00000     1.9166       1052    
Hold 141.Queue.WaitingTime                  26.437     (Insuf)    .29909     53.364         53    
Hold 167.Queue.WaitingTime                      --         --         --         --          0
Hold 100.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          1    
Process 62.Queue.WaitingTime                1.7809     (Insuf)    .00000     8.8798         11    
Hold 63.Queue.WaitingTime                   .11059     (Insuf)    .00000     2.1584         78    
Hold 48.Queue.WaitingTime                   .79829     (Corr)     .00000     1.9166        950    
Hold 139.Queue.WaitingTime                  11.429     (Insuf)    .00257     23.394        111    
Process 67.Queue.WaitingTime                .00000     (Insuf)    .00000     .00000          5    
Process 26.Queue.WaitingTime                .00000     (Insuf)    .00000     .00000        149    
Batch 17.Queue.WaitingTime                  .65551     (Insuf)    .00000     1.3474         52    
Hold 162.Queue.WaitingTime                      --         --         --         --          0
Hold 121.Queue.WaitingTime                  .04638     (Insuf)    .00000     2.8528        304    
Hold 147.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          2    
Hold 106.Queue.WaitingTime                  13.512     (Insuf)    12.026     14.997          2    
Process 34.Queue.WaitingTime                1.4630     (Corr)     .00000     9.4930        434    
Batch 25.Queue.WaitingTime                  15.493     (Insuf)    .00000     28.791        252    
Process 2.Queue.WaitingTime                     --         --         --         --          0
Batch 33.Queue.WaitingTime                      --         --         --         --          0
Hold 84.Queue.WaitingTime                   .19939     .08793     .00000     9.6708        331    
Hold 134.Queue.WaitingTime                  17.118     (Insuf)    12.103     23.538         84    
Hold 119.Queue.WaitingTime                      --         --         --         --          0
Hold 92.Queue.WaitingTime                   .37274     (Insuf)    .00000     8.9112        107    
Hold 51.Queue.WaitingTime                   .09804     .06232     .00000     8.6267        459    
Hold 142.Queue.WaitingTime                  .21575     (Insuf)    .21575     .21575          1    
Hold 101.Queue.WaitingTime                  1.6181     (Insuf)    1.6181     1.6181          1    
Batch 20.Queue.WaitingTime                  8.1765     (Corr)     .00000     27.000        568    
Hold 150.Queue.WaitingTime                  .72256     (Insuf)    .00000     2.8902          4    
Hold 56.Queue.WaitingTime                   .85388     (Insuf)    .00000     5.7435         15    
Hold 155.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          2    
Hold 114.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000         52    
Process 68.Queue.WaitingTime                .38259     (Insuf)    .00000     3.7518         16    
Process 27.Queue.WaitingTime                .00000     (Insuf)    .00000     .00000        130    
Batch 18.Queue.WaitingTime                  .73485     (Insuf)    .00000     1.4166         28    
Hold 31.Queue.WaitingTime                   .00000     (Insuf)    .00000     .00000          1    
Hold 163.Queue.WaitingTime                  23.705     (Insuf)    15.327     32.083          2    
Hold 122.Queue.WaitingTime                  .18556     .15264     .00000     8.4770        452    
Process 76.Queue.WaitingTime                11.641     (Insuf)    .00000     30.916         43    
Batch 26.Queue.WaitingTime                  4.2702     (Insuf)    .00000     8.2500        140    
Batch 6.Queue.WaitingTime                   .00000     .00000     .00000     .00000       1257    
Hold 135.Queue.WaitingTime                  21.862     (Insuf)    2.1929     41.560         42    
Process 63.Queue.WaitingTime                .11574     (Insuf)    .03333     .27498          7    
Process 22.Queue.WaitingTime                29.980     (Corr)     .00000     76.498        332    
Hold 143.Queue.WaitingTime                      --         --         --         --          0
Hold 102.Queue.WaitingTime                  4.7972     (Insuf)    3.0191     8.9946          4    
Hold 49.Queue.WaitingTime                   .09346     .07027     .00000     7.2112        471    
Batch 21.Queue.WaitingTime                  .40818     (Insuf)    .00000     .83333         24    
Hold 98.Queue.WaitingTime                   4.7519     (Insuf)    .00000     9.5038          2    
Hold 57.Queue.WaitingTime                   .00000     (Insuf)    .00000     .00000         84    
Hold 148.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          1    
Hold 107.Queue.WaitingTime                  16.951     (Insuf)    1.8534     32.048          2    
Hold 156.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          1    
Hold 115.Queue.WaitingTime                  .32659     (Insuf)    .00000     5.9821        101    
Process 69.Queue.WaitingTime                .45831     (Insuf)    .00000     3.2081          7    
Process 28.Queue.WaitingTime                .00000     (Insuf)    .00000     .00000        122    
Match 6.Queue1.WaitingTime                  8.2339E-05 (Corr)     .00000     1.6667E-04    419    
Match 6.Queue2.WaitingTime                  .02979     (Corr)     .00000     .16650        419    
Match 6.Queue3.WaitingTime                  .07175     .01561     .00000     .16650        419    
Batch 19.Queue.WaitingTime                  3.2234     (Insuf)    .00000     6.5779         64    
Hold 123.Queue.WaitingTime                  .15176     (Insuf)    .00000     5.9821        314    
Hold 93.Queue.WaitingTime                   .36159     (Insuf)    .01410     8.9767        123    
Hold 52.Queue.WaitingTime                   1.7061     (Corr)     .00000     3.8086        434    

                                     DISCRETE-CHANGE VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Final Value
___________________________________________________________________________________________________

CapArconPASoya Value                        50.000     (Insuf)    50.000     50.000     50.000    
CapArconPAMaiz Value                        50.000     (Insuf)    50.000     50.000     50.000    
CapArconPAFrijol Value                      50.000     (Insuf)    50.000     50.000     50.000    
estado pellet 16                            .00000     (Insuf)    .00000     .00000     .00000    
estado mezcladora1                          .00000     (Insuf)    .00000     .00000     .00000    
estado mezcladora2                          .00000     (Insuf)    .00000     .00000     .00000    
estado molino1                              .00000     (Insuf)    .00000     .00000     .00000    
estado molino2                              .00000     (Insuf)    .00000     .00000     .00000    
estadopellet 17                             .00000     (Insuf)    .00000     .00000     .00000    
estado pellet 67                            .00000     (Insuf)    .00000     .00000     .00000    
Entity 1.WIP                                3383.5     (Corr)     .00000     4919.0     2394.0    
Entity 2.WIP                                .00000     (Insuf)    .00000     .00000     .00000    
Mezcladora1.NumberBusy                      1.0000     (Insuf)    .00000     1.0000     1.0000    
Mezcladora1.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Mezcladora1.Utilization                     1.0000     (Insuf)    .00000     1.0000     1.0000    
Mezcladora2.NumberBusy                      .99599     (Insuf)    .00000     1.0000     1.0000    
Mezcladora2.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Mezcladora2.Utilization                     .99599     (Insuf)    .00000     1.0000     1.0000    
