
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 20

Project: Unnamed Project                                             Run execution date :11/16/2016
Analyst: Rockwell Automation                                         Model revision date:11/16/2016

Replication ended at time      : 120.0 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Hold 55.Queue.WaitingTime                       --         --         --         --          0
Hold 105.Queue.WaitingTime                      --         --         --         --          0
Process 33.Queue.WaitingTime                .26026     .38424     .00000     4.4855        724    
Batch 24.Queue.WaitingTime                  3.2477     (Insuf)    .00000     8.0422        204    
Hold 154.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          2    
Hold 113.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000         44    
Process 1.Queue.WaitingTime                     --         --         --         --          0
Process 82.Queue.WaitingTime                1.5826     (Insuf)    .00000     4.4200         46    
Batch 32.Queue.WaitingTime                  15.147     (Corr)     .00000     32.416        750    
Hold 83.Queue.WaitingTime                   .57109     (Insuf)    .00000     2.6090         12    
Hold 42.Queue.WaitingTime                       --         --         --         --          0
Hold 27.Queue.WaitingTime                       --         --         --         --          0
Hold 118.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000         24    
Hold 50.Queue.WaitingTime                   .58908     (Corr)     .00000     1.7500        728    
Hold 141.Queue.WaitingTime                  7.5090     (Insuf)    5.9419     9.5717         48    
Hold 167.Queue.WaitingTime                      --         --         --         --          0
Hold 100.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          1    
Process 62.Queue.WaitingTime                .44062     (Insuf)    .00000     2.2540          8    
Hold 63.Queue.WaitingTime                   .89316     (Insuf)    .00000     5.6342         60    
Hold 48.Queue.WaitingTime                   .43105     (Corr)     .00000     2.0833        710    
Hold 139.Queue.WaitingTime                  7.1466     (Insuf)    6.7652     7.5152         40    
Process 67.Queue.WaitingTime                .00000     (Insuf)    .00000     .00000          8    
Process 26.Queue.WaitingTime                .00000     (Insuf)    .00000     .00000        124    
Batch 17.Queue.WaitingTime                  .72240     (Insuf)    .00000     1.5000         52    
Hold 162.Queue.WaitingTime                      --         --         --         --          0
Hold 121.Queue.WaitingTime                  .07680     (Insuf)    .00000     4.4855        204    
Hold 147.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          2    
Hold 106.Queue.WaitingTime                  7.5766     (Insuf)    1.9264     13.226          2    
Process 34.Queue.WaitingTime                4.5207     (Corr)     .00000     24.735        456    
Batch 25.Queue.WaitingTime                  6.0532     (Insuf)    .00000     13.305        252    
Process 2.Queue.WaitingTime                     --         --         --         --          0
Batch 33.Queue.WaitingTime                      --         --         --         --          0
Hold 84.Queue.WaitingTime                   .13525     (Insuf)    .00000     15.035        314    
Hold 134.Queue.WaitingTime                  13.404     (Insuf)    .00000     16.966         58    
Hold 119.Queue.WaitingTime                      --         --         --         --          0
Hold 92.Queue.WaitingTime                   .10974     (Insuf)    .01615     .20000         16    
Hold 51.Queue.WaitingTime                   .08688     .09080     .00000     13.693        338    
Hold 142.Queue.WaitingTime                  9.9804     (Insuf)    2.3503     20.087         44    
Hold 101.Queue.WaitingTime                  .99170     (Insuf)    .99170     .99170          1    
Batch 20.Queue.WaitingTime                  2.6896     (Insuf)    .00000     6.5833        300    
Hold 150.Queue.WaitingTime                  4.1771     (Insuf)    .00000     12.531          3    
Hold 56.Queue.WaitingTime                   .07101     (Insuf)    .00000     .76931         16    
Hold 155.Queue.WaitingTime                  .49674     (Insuf)    .00000     .99347          2    
Hold 114.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000         52    
Process 68.Queue.WaitingTime                2.7344     (Insuf)    .00000     11.201          8    
Process 27.Queue.WaitingTime                .00000     (Insuf)    .00000     .00000        121    
Batch 18.Queue.WaitingTime                  .54250     (Insuf)    .00000     1.0833         28    
Hold 31.Queue.WaitingTime                   .00000     (Insuf)    .00000     .00000          1    
Hold 163.Queue.WaitingTime                  24.041     (Insuf)    16.333     31.750          2    
Hold 122.Queue.WaitingTime                  .00000     .00000     .00000     .00000        356    
Process 76.Queue.WaitingTime                13.149     (Insuf)    .00000     30.762         33    
Batch 26.Queue.WaitingTime                  2.9143     (Insuf)    .00000     5.9166        140    
Batch 6.Queue.WaitingTime                   .00000     .00000     .00000     .00000       1257    
Hold 135.Queue.WaitingTime                  10.632     (Insuf)    .03044     15.915         65    
Process 63.Queue.WaitingTime                1.4366     (Insuf)    1.9625E-04 5.4161          7    
Process 22.Queue.WaitingTime                21.241     (Insuf)    .00000     52.352        315    
Hold 143.Queue.WaitingTime                      --         --         --         --          0
Hold 102.Queue.WaitingTime                  4.7943     (Insuf)    .00000     13.614          3    
