SIMAN Run Controller.

1.25 Hours>
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 1

Project: Unnamed Project                                             Run execution date :10/27/2016
Analyst: Rockwell Automation                                         Model revision date:10/27/2016

Replication ended at time      : 1.25 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
Molino2.NumberBusy                          .53333     (Insuf)    .00000     1.0000     .00000    
Molino3.NumberBusy                          1.0000     (Insuf)    .00000     1.0000     1.0000    
Molino3.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Molino3.Utilization                         1.0000     (Insuf)    .00000     1.0000     1.0000    
Pellet 67.NumberBusy                        .28000     (Insuf)    .00000     1.0000     1.0000    
Pellet 67.NumberScheduled                   1.0000     (Insuf)    1.0000     1.0000     1.0000    
Pellet 67.Utilization                       .28000     (Insuf)    .00000     1.0000     1.0000    
Batch 7.Queue.NumberInQueue                 .00000     (Insuf)    .00000     3.0000     .00000    
Process 23.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Hold 32.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 40.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 53.Queue.NumberInQueue                 1.0000     (Insuf)    .00000     1.0000     1.0000    
Process 24.Queue.NumberInQueue              9.9333     (Insuf)    .00000     29.000     27.000    
Hold 25.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 41.Queue.NumberInQueue                 .40000     (Insuf)    .00000     3.0000     1.0000    
Hold 38.Queue.NumberInQueue                 6.0666     (Insuf)    .00000     22.000     8.0000    
Match 7.Queue1.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Match 7.Queue2.NumberInQueue                6.0666     (Insuf)    .00000     22.000     3.0000    
Match 7.Queue3.NumberInQueue                6.0666     (Insuf)    .00000     22.000     8.0000    
Hold 54.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Process 32.Queue.NumberInQueue              3.4000     (Insuf)    .00000     8.0000     5.0000    
Process 25.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Hold 26.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 34.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 39.Queue.NumberInQueue                 .00000     (Insuf)    .00000     5.0000     5.0000    
Batch 11.Queue.NumberInQueue                .82667     (Insuf)    .00000     3.0000     .00000    
Hold 55.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Process 33.Queue.NumberInQueue              3.0400     (Insuf)    .00000     8.0000     3.0000    
Process 1.Queue.NumberInQueue               .00000     (Insuf)    .00000     .00000     .00000    
Hold 42.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 27.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
