SIMAN Run Controller.

0.00016666667 Hours>SIMAN Run Controller.

0.26683333 Hours>
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 1

Project: Unnamed Project                                             Run execution date :10/31/2016
Analyst: Rockwell Automation                                         Model revision date:10/31/2016

Replication ended at time      : 0.26683333 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
Hold 31.Queue.WaitingTime                       --         --         --         --          0
Hold 122.Queue.WaitingTime                      --         --         --         --          0
Batch 26.Queue.WaitingTime                      --         --         --         --          0
Batch 6.Queue.WaitingTime                   .00000     (Insuf)    .00000     .00000        177    
Hold 135.Queue.WaitingTime                      --         --         --         --          0
Process 22.Queue.WaitingTime                .12500     (Insuf)    .00000     .25000          6    
Batch 13.Queue.WaitingTime                      --         --         --         --          0
Hold 143.Queue.WaitingTime                      --         --         --         --          0
Hold 102.Queue.WaitingTime                      --         --         --         --          0
Hold 49.Queue.WaitingTime                   .02557     (Insuf)    .00000     .08017          9    
Batch 21.Queue.WaitingTime                      --         --         --         --          0
Hold 98.Queue.WaitingTime                       --         --         --         --          0
Hold 57.Queue.WaitingTime                   .00000     (Insuf)    .00000     .00000          2    
Hold 107.Queue.WaitingTime                      --         --         --         --          0
Hold 115.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          4    
Process 28.Queue.WaitingTime                .08333     (Insuf)    .08333     .08333          2    
Match 6.Queue1.WaitingTime                  .00000     (Insuf)    .00000     .00000         59    
Match 6.Queue2.WaitingTime                  .03383     (Insuf)    .00000     .08317         59    
Match 6.Queue3.WaitingTime                  .06061     (Insuf)    .00000     .08317         59    
Batch 19.Queue.WaitingTime                      --         --         --         --          0
Hold 123.Queue.WaitingTime                      --         --         --         --          0
Hold 93.Queue.WaitingTime                       --         --         --         --          0
Hold 52.Queue.WaitingTime                       --         --         --         --          0

                                     DISCRETE-CHANGE VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Final Value
___________________________________________________________________________________________________

CapArconPASoya Value                        50.434     (Insuf)    50.434     50.434     50.434    
CapArconPAMaiz Value                        47.645     (Insuf)    47.645     47.645     47.645    
CapArconPAFrijol Value                      48.707     (Insuf)    48.707     48.707     48.707    
Entity 1.WIP                                580.93     (Insuf)    .00000     707.00     707.00    
