SIMAN Run Controller.

2399.2667 Hours>
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 1

Project: Unnamed Project                                             Run execution date :10/28/2016
Analyst: Rockwell Automation                                         Model revision date:10/28/2016

Replication ended at time      : 2399.2667 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
Match 6.Queue3.WaitingTime                  .06351     (Insuf)    .00000     .08317         55    
Hold 93.Queue.WaitingTime                   .21000     (Insuf)    .15000     .28333          5    
Hold 52.Queue.WaitingTime                   .00000     (Insuf)    .00000     .00000        100    
Hold 78.Queue.WaitingTime                   1.3834     (Insuf)    1.2500     1.5168          2    

                                     DISCRETE-CHANGE VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Final Value
___________________________________________________________________________________________________

CapArconPASoya Value                        50.434     (Insuf)    50.434     50.434     50.434    
CapArconPAMaiz Value                        47.645     (Insuf)    47.645     47.645     47.645    
CapArconPAFrijol Value                      48.707     (Insuf)    48.707     48.707     48.707    
Entity 1.WIP                                908.99     (Corr)     .00000     929.00     910.00    
Entity 2.WIP                                .00000     (Insuf)    .00000     .00000     .00000    
Mezcladora1.NumberBusy                      .00202     (Insuf)    .00000     1.0000     .00000    
Mezcladora1.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Mezcladora1.Utilization                     .00202     (Insuf)    .00000     1.0000     .00000    
Mezcladora2.NumberBusy                      .00274     (Insuf)    .00000     1.0000     .00000    
Mezcladora2.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Mezcladora2.Utilization                     .00274     (Insuf)    .00000     1.0000     .00000    
Balanza1.NumberBusy                         .00192     (Insuf)    .00000     1.0000     .00000    
Balanza1.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Balanza1.Utilization                        .00192     (Insuf)    .00000     1.0000     .00000    
balanza2.NumberBusy                         .00274     (Insuf)    .00000     1.0000     .00000    
balanza2.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
balanza2.Utilization                        .00274     (Insuf)    .00000     1.0000     .00000    
Resource 3.NumberBusy                       .00000     (Insuf)    .00000     .00000     .00000    
Pellet 16.NumberBusy                        .00274     (Insuf)    .00000     1.0000     .00000    
Pellet 16.NumberScheduled                   1.0000     (Insuf)    1.0000     1.0000     1.0000    
Pellet 16.Utilization                       .00274     (Insuf)    .00000     1.0000     .00000    
Pellet 17.NumberBusy                        .00316     (Insuf)    .00000     1.0000     .00000    
Pellet 17.NumberScheduled                   1.0000     (Insuf)    1.0000     1.0000     1.0000    
Pellet 17.Utilization                       .00316     (Insuf)    .00000     1.0000     .00000    
Molino1.NumberBusy                          .00254     (Insuf)    .00000     1.0000     .00000    
Molino1.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Molino1.Utilization                         .00254     (Insuf)    .00000     1.0000     .00000    
Molino2.NumberBusy                          .00167     (Insuf)    .00000     1.0000     .00000    
Molino3.NumberBusy                          .00191     (Insuf)    .00000     1.0000     .00000    
Molino3.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Molino3.Utilization                         .00191     (Insuf)    .00000     1.0000     .00000    
Pellet 67.NumberBusy                        .00229     (Insuf)    .00000     1.0000     .00000    
Pellet 67.NumberScheduled                   1.0000     (Insuf)    1.0000     1.0000     1.0000    
Pellet 67.Utilization                       .00229     (Insuf)    .00000     1.0000     .00000    
Batch 7.Queue.NumberInQueue                 .00000     (Insuf)    .00000     3.0000     .00000    
Hold 60.Queue.NumberInQueue                 5.0075     (Insuf)    .00000     32.000     5.0000    
Process 23.Queue.NumberInQueue              7.7802E-04 (Insuf)    .00000     1.0000     .00000    
